Subj Nques Cans Pcorr
001.asc 111 95 0.8558558558558559
002.asc 111 100 0.9009009009009009
003.asc 111 88 0.7927927927927928
004.asc 111 95 0.8558558558558559
005.asc 110 85 0.7727272727272727
006.asc 111 105 0.9459459459459459
007.asc 111 99 0.8918918918918919
008.asc 111 98 0.8828828828828829
009.asc 111 94 0.8468468468468469
011.asc 111 101 0.9099099099099099
012.asc 111 106 0.954954954954955
013.asc 111 100 0.9009009009009009
014.asc 111 103 0.9279279279279279
015.asc 111 97 0.8738738738738738
016.asc 111 96 0.8648648648648649
017.asc 111 99 0.8918918918918919
018.asc 111 95 0.8558558558558559
019.asc 111 99 0.8918918918918919
020.asc 111 89 0.8018018018018018
021.asc 111 97 0.8738738738738738
022.asc 111 86 0.7747747747747747
023.asc 111 104 0.9369369369369369
024.asc 111 100 0.9009009009009009
025.asc 111 99 0.8918918918918919
026.asc 113 103 0.911504424778761
027.asc 111 97 0.8738738738738738
028.asc 111 95 0.8558558558558559
029.asc 111 94 0.8468468468468469
030.asc 111 102 0.918918918918919
031.asc 111 95 0.8558558558558559
032.asc 110 99 0.9
034.asc 108 101 0.9351851851851852
035.asc 111 99 0.8918918918918919
036.asc 111 94 0.8468468468468469
037.asc 111 102 0.918918918918919
038.asc 83 72 0.8674698795180723
039.asc 110 91 0.8272727272727273
040.asc 111 93 0.8378378378378378
041.asc 111 88 0.7927927927927928
042.asc 111 99 0.8918918918918919
