Subj Nques Cans Pcorr
001.asc 111 86 0.7747747747747747
002.asc 111 101 0.9099099099099099
003.asc 111 94 0.8468468468468469
004.asc 111 102 0.918918918918919
005.asc 111 100 0.9009009009009009
006.asc 111 103 0.9279279279279279
007.asc 111 102 0.918918918918919
008.asc 111 89 0.8018018018018018
009.asc 111 101 0.9099099099099099
010.asc 111 96 0.8648648648648649
011.asc 111 98 0.8828828828828829
012.asc 110 96 0.8727272727272727
013.asc 111 102 0.918918918918919
014.asc 111 59 0.5315315315315315
015.asc 111 102 0.918918918918919
016.asc 111 98 0.8828828828828829
017.asc 111 100 0.9009009009009009
018.asc 111 99 0.8918918918918919
019.asc 111 95 0.8558558558558559
020.asc 111 107 0.963963963963964
021.asc 111 103 0.9279279279279279
022.asc 111 97 0.8738738738738738
023.asc 111 105 0.9459459459459459
024.asc 111 98 0.8828828828828829
025.asc 111 96 0.8648648648648649
026.asc 111 97 0.8738738738738738
027.asc 111 91 0.8198198198198198
028.asc 111 100 0.9009009009009009
029.asc 111 103 0.9279279279279279
030.asc 109 104 0.9541284403669725
031.asc 111 92 0.8288288288288288
032.asc 111 96 0.8648648648648649
034.asc 111 69 0.6216216216216216
035.asc 111 105 0.9459459459459459
036.asc 111 105 0.9459459459459459
037.asc 111 97 0.8738738738738738
038.asc 111 97 0.8738738738738738
039.asc 111 96 0.8648648648648649
040.asc 111 93 0.8378378378378378
041.asc 111 100 0.9009009009009009
042.asc 111 97 0.8738738738738738
006-RR.asc 111 104 0.9369369369369369
014-RR.asc 111 96 0.8648648648648649
017-RR.asc 111 98 0.8828828828828829
031-RR.asc 111 100 0.9009009009009009
