subj	cond	item	value	region	Xstart	Xend	Ystart	Yend	fixationtype	order	questionRT	questionAcc
001	3	35	240	1	0	59	0	0	ff	9	NA	NA
001	3	35	3077	1	0	59	0	0	fp	9	NA	NA
001	3	35	3077	1	0	59	0	0	rp	9	NA	NA
001	3	35	0	1	0	59	0	0	pr	9	NA	NA
001	3	35	277	1	0	59	0	0	rr	9	NA	NA
001	3	35	3354	1	0	59	0	0	tt	9	NA	NA
001	3	35	280	2	59	67	0	0	ff	9	NA	NA
001	3	35	280	2	59	67	0	0	fp	9	NA	NA
001	3	35	280	2	59	67	0	0	rp	9	NA	NA
001	3	35	0	2	59	67	0	0	pr	9	NA	NA
001	3	35	0	2	59	67	0	0	rr	9	NA	NA
001	3	35	280	2	59	67	0	0	tt	9	NA	NA
001	3	35	321	3	67	79	0	0	ff	9	NA	NA
001	3	35	469	3	67	79	0	0	fp	9	NA	NA
001	3	35	469	3	67	79	0	0	rp	9	NA	NA
001	3	35	0	3	67	79	0	0	pr	9	NA	NA
001	3	35	0	3	67	79	0	0	rr	9	NA	NA
001	3	35	469	3	67	79	0	0	tt	9	NA	NA
001	3	35	304	4	79	121	0	0	ff	9	NA	NA
001	3	35	2535	4	79	121	0	0	fp	9	NA	NA
001	3	35	2812	4	79	121	0	0	rp	9	NA	NA
001	3	35	1	4	79	121	0	0	pr	9	NA	NA
001	3	35	0	4	79	121	0	0	rr	9	NA	NA
001	3	35	2535	4	79	121	0	0	tt	9	NA	NA
001	4	44	224	1	0	69	0	0	ff	17	NA	NA
001	4	44	3434	1	0	69	0	0	fp	17	NA	NA
001	4	44	3434	1	0	69	0	0	rp	17	NA	NA
001	4	44	0	1	0	69	0	0	pr	17	NA	NA
001	4	44	0	1	0	69	0	0	rr	17	NA	NA
001	4	44	3434	1	0	69	0	0	tt	17	NA	NA
001	4	44	275	2	69	77	0	0	ff	17	NA	NA
001	4	44	275	2	69	77	0	0	fp	17	NA	NA
001	4	44	275	2	69	77	0	0	rp	17	NA	NA
001	4	44	0	2	69	77	0	0	pr	17	NA	NA
001	4	44	0	2	69	77	0	0	rr	17	NA	NA
001	4	44	275	2	69	77	0	0	tt	17	NA	NA
001	4	44	344	3	77	92	0	0	ff	17	NA	NA
001	4	44	731	3	77	92	0	0	fp	17	NA	NA
001	4	44	731	3	77	92	0	0	rp	17	NA	NA
001	4	44	0	3	77	92	0	0	pr	17	NA	NA
001	4	44	0	3	77	92	0	0	rr	17	NA	NA
001	4	44	731	3	77	92	0	0	tt	17	NA	NA
001	4	44	262	4	92	114	0	0	ff	17	NA	NA
001	4	44	991	4	92	114	0	0	fp	17	NA	NA
001	4	44	991	4	92	114	0	0	rp	17	NA	NA
001	4	44	0	4	92	114	0	0	pr	17	NA	NA
001	4	44	0	4	92	114	0	0	rr	17	NA	NA
001	4	44	991	4	92	114	0	0	tt	17	NA	NA
001	4	20	268	1	0	66	0	0	ff	19	NA	NA
001	4	20	3437	1	0	66	0	0	fp	19	NA	NA
001	4	20	3437	1	0	66	0	0	rp	19	NA	NA
001	4	20	0	1	0	66	0	0	pr	19	NA	NA
001	4	20	3420	1	0	66	0	0	rr	19	NA	NA
001	4	20	6857	1	0	66	0	0	tt	19	NA	NA
001	4	20	398	2	66	74	0	0	ff	19	NA	NA
001	4	20	398	2	66	74	0	0	fp	19	NA	NA
001	4	20	1062	2	66	74	0	0	rp	19	NA	NA
001	4	20	1	2	66	74	0	0	pr	19	NA	NA
001	4	20	323	2	66	74	0	0	rr	19	NA	NA
001	4	20	721	2	66	74	0	0	tt	19	NA	NA
001	4	20	285	3	74	84	0	0	ff	19	NA	NA
001	4	20	285	3	74	84	0	0	fp	19	NA	NA
001	4	20	285	3	74	84	0	0	rp	19	NA	NA
001	4	20	0	3	74	84	0	0	pr	19	NA	NA
001	4	20	194	3	74	84	0	0	rr	19	NA	NA
001	4	20	479	3	74	84	0	0	tt	19	NA	NA
001	4	20	177	4	84	129	0	0	ff	19	NA	NA
001	4	20	1952	4	84	129	0	0	fp	19	NA	NA
001	4	20	5225	4	84	129	0	0	rp	19	NA	NA
001	4	20	1	4	84	129	0	0	pr	19	NA	NA
001	4	20	0	4	84	129	0	0	rr	19	NA	NA
001	4	20	1952	4	84	129	0	0	tt	19	NA	NA
001	6	46	263	1	0	75	0	0	ff	24	NA	NA
001	6	46	2308	1	0	75	0	0	fp	24	NA	NA
001	6	46	2308	1	0	75	0	0	rp	24	NA	NA
001	6	46	0	1	0	75	0	0	pr	24	NA	NA
001	6	46	4174	1	0	75	0	0	rr	24	NA	NA
001	6	46	6482	1	0	75	0	0	tt	24	NA	NA
001	6	46	NA	2	75	82	0	0	ff	24	NA	NA
001	6	46	NA	2	75	82	0	0	fp	24	NA	NA
001	6	46	NA	2	75	82	0	0	rp	24	NA	NA
001	6	46	NA	2	75	82	0	0	pr	24	NA	NA
001	6	46	544	2	75	82	0	0	rr	24	NA	NA
001	6	46	544	2	75	82	0	0	tt	24	NA	NA
001	6	46	169	3	82	95	0	0	ff	24	NA	NA
001	6	46	636	3	82	95	0	0	fp	24	NA	NA
001	6	46	636	3	82	95	0	0	rp	24	NA	NA
001	6	46	0	3	82	95	0	0	pr	24	NA	NA
001	6	46	1921	3	82	95	0	0	rr	24	NA	NA
001	6	46	2557	3	82	95	0	0	tt	24	NA	NA
001	6	46	106	4	95	106	0	0	ff	24	NA	NA
001	6	46	106	4	95	106	0	0	fp	24	NA	NA
001	6	46	6951	4	95	106	0	0	rp	24	NA	NA
001	6	46	1	4	95	106	0	0	pr	24	NA	NA
001	6	46	206	4	95	106	0	0	rr	24	NA	NA
001	6	46	312	4	95	106	0	0	tt	24	NA	NA
001	2	10	256	1	0	61	0	0	ff	27	NA	NA
001	2	10	3387	1	0	61	0	0	fp	27	NA	NA
001	2	10	3387	1	0	61	0	0	rp	27	NA	NA
001	2	10	0	1	0	61	0	0	pr	27	NA	NA
001	2	10	3736	1	0	61	0	0	rr	27	NA	NA
001	2	10	7123	1	0	61	0	0	tt	27	NA	NA
001	2	10	319	2	61	69	0	0	ff	27	NA	NA
001	2	10	319	2	61	69	0	0	fp	27	NA	NA
001	2	10	319	2	61	69	0	0	rp	27	NA	NA
001	2	10	0	2	61	69	0	0	pr	27	NA	NA
001	2	10	202	2	61	69	0	0	rr	27	NA	NA
001	2	10	521	2	61	69	0	0	tt	27	NA	NA
001	2	10	462	3	69	80	0	0	ff	27	NA	NA
001	2	10	462	3	69	80	0	0	fp	27	NA	NA
001	2	10	462	3	69	80	0	0	rp	27	NA	NA
001	2	10	0	3	69	80	0	0	pr	27	NA	NA
001	2	10	444	3	69	80	0	0	rr	27	NA	NA
001	2	10	906	3	69	80	0	0	tt	27	NA	NA
001	2	10	251	4	80	122	0	0	ff	27	NA	NA
001	2	10	1541	4	80	122	0	0	fp	27	NA	NA
