Subj Nques Cans Pcorr
001.asc 102 88 0.8627450980392157
002.asc 102 78 0.7647058823529411
003.asc 102 96 0.9411764705882353
004.asc 102 85 0.8333333333333334
005.asc 102 87 0.8529411764705882
006.asc 102 85 0.8333333333333334
007.asc 102 83 0.8137254901960784
008.asc 102 83 0.8137254901960784
009.asc 102 82 0.803921568627451
010.asc 102 89 0.8725490196078431
011.asc 102 82 0.803921568627451
012.asc 102 83 0.8137254901960784
013.asc 102 92 0.9019607843137255
014.asc 102 96 0.9411764705882353
015.asc 102 82 0.803921568627451
016.asc 102 93 0.9117647058823529
017.asc 102 84 0.8235294117647058
018.asc 102 80 0.7843137254901961
019.asc 103 94 0.912621359223301
020.asc 102 66 0.6470588235294118
021.asc 102 88 0.8627450980392157
022.asc 102 89 0.8725490196078431
023.asc 102 77 0.7549019607843137
024.asc 102 90 0.8823529411764706
025.asc 102 82 0.803921568627451
026.asc 102 88 0.8627450980392157
027.asc 102 85 0.8333333333333334
028.asc 102 80 0.7843137254901961
029.asc 102 89 0.8725490196078431
030.asc 100 82 0.82
031.asc 102 86 0.8431372549019608
032.asc 102 90 0.8823529411764706
033.asc 102 79 0.7745098039215687
034.asc 102 85 0.8333333333333334
035.asc 102 79 0.7745098039215687
036.asc 102 89 0.8725490196078431
037.asc 103 88 0.8543689320388349
