Subj Nques Cans Pcorr
001.asc 111 94 0.8468468468468469
002.asc 111 94 0.8468468468468469
003.asc 111 95 0.8558558558558559
004.asc 111 84 0.7567567567567568
005.asc 111 91 0.8198198198198198
006.asc 111 93 0.8378378378378378
007.asc 111 89 0.8018018018018018
008.asc 111 94 0.8468468468468469
009.asc 111 91 0.8198198198198198
010.asc 111 99 0.8918918918918919
011.asc 111 89 0.8018018018018018
012.asc 111 87 0.7837837837837838
013.asc 111 101 0.9099099099099099
014.asc 111 98 0.8828828828828829
015.asc 111 95 0.8558558558558559
016.asc 111 98 0.8828828828828829
017.asc 111 95 0.8558558558558559
018.asc 111 99 0.8918918918918919
019.asc 111 93 0.8378378378378378
020.asc 111 99 0.8918918918918919
021.asc 111 85 0.7657657657657657
022.asc 111 98 0.8828828828828829
023.asc 111 97 0.8738738738738738
024.asc 111 96 0.8648648648648649
025.asc 111 97 0.8738738738738738
026.asc 111 98 0.8828828828828829
027.asc 111 83 0.7477477477477478
028.asc 111 92 0.8288288288288288
029.asc 111 101 0.9099099099099099
030.asc 111 93 0.8378378378378378
031.asc 111 92 0.8288288288288288
032.asc 111 93 0.8378378378378378
033.asc 111 95 0.8558558558558559
034.asc 111 91 0.8198198198198198
035.asc 111 95 0.8558558558558559
036.asc 111 97 0.8738738738738738
037.asc 111 93 0.8378378378378378
038.asc 111 78 0.7027027027027027
039.asc 111 100 0.9009009009009009
040.asc 111 100 0.9009009009009009
041.asc 111 94 0.8468468468468469
042.asc 111 97 0.8738738738738738
043.asc 111 96 0.8648648648648649
044.asc 111 98 0.8828828828828829
