subj	cond	item	value	region	Xstart	Xend	Ystart	Yend	fixationtype	order	questionRT	questionAcc
001	5	35	241	1	0	37	0	0	ff	19	NA	NA
001	5	35	1127	1	0	37	0	0	fp	19	NA	NA
001	5	35	1127	1	0	37	0	0	rp	19	NA	NA
001	5	35	0	1	0	37	0	0	pr	19	NA	NA
001	5	35	235	1	0	37	0	0	rr	19	NA	NA
001	5	35	1362	1	0	37	0	0	tt	19	NA	NA
001	5	35	274	2	37	48	0	0	ff	19	NA	NA
001	5	35	274	2	37	48	0	0	fp	19	NA	NA
001	5	35	274	2	37	48	0	0	rp	19	NA	NA
001	5	35	0	2	37	48	0	0	pr	19	NA	NA
001	5	35	0	2	37	48	0	0	rr	19	NA	NA
001	5	35	274	2	37	48	0	0	tt	19	NA	NA
001	5	35	184	3	48	72	0	0	ff	19	NA	NA
001	5	35	673	3	48	72	0	0	fp	19	NA	NA
001	5	35	673	3	48	72	0	0	rp	19	NA	NA
001	5	35	0	3	48	72	0	0	pr	19	NA	NA
001	5	35	0	3	48	72	0	0	rr	19	NA	NA
001	5	35	673	3	48	72	0	0	tt	19	NA	NA
001	5	35	636	4	72	101	0	0	ff	19	NA	NA
001	5	35	1835	4	72	101	0	0	fp	19	NA	NA
001	5	35	2070	4	72	101	0	0	rp	19	NA	NA
001	5	35	1	4	72	101	0	0	pr	19	NA	NA
001	5	35	0	4	72	101	0	0	rr	19	NA	NA
001	5	35	1835	4	72	101	0	0	tt	19	NA	NA
001	6	36	231	1	0	45	0	0	ff	28	NA	NA
001	6	36	2210	1	0	45	0	0	fp	28	NA	NA
001	6	36	2210	1	0	45	0	0	rp	28	NA	NA
001	6	36	0	1	0	45	0	0	pr	28	NA	NA
001	6	36	0	1	0	45	0	0	rr	28	NA	NA
001	6	36	2210	1	0	45	0	0	tt	28	NA	NA
001	6	36	155	2	45	56	0	0	ff	28	NA	NA
001	6	36	428	2	45	56	0	0	fp	28	NA	NA
001	6	36	428	2	45	56	0	0	rp	28	NA	NA
001	6	36	0	2	45	56	0	0	pr	28	NA	NA
001	6	36	0	2	45	56	0	0	rr	28	NA	NA
001	6	36	428	2	45	56	0	0	tt	28	NA	NA
001	6	36	300	3	56	65	0	0	ff	28	NA	NA
001	6	36	300	3	56	65	0	0	fp	28	NA	NA
001	6	36	300	3	56	65	0	0	rp	28	NA	NA
001	6	36	0	3	56	65	0	0	pr	28	NA	NA
001	6	36	0	3	56	65	0	0	rr	28	NA	NA
001	6	36	300	3	56	65	0	0	tt	28	NA	NA
001	6	36	196	4	65	95	0	0	ff	28	NA	NA
001	6	36	1390	4	65	95	0	0	fp	28	NA	NA
001	6	36	1390	4	65	95	0	0	rp	28	NA	NA
001	6	36	0	4	65	95	0	0	pr	28	NA	NA
001	6	36	0	4	65	95	0	0	rr	28	NA	NA
001	6	36	1390	4	65	95	0	0	tt	28	NA	NA
001	3	21	248	1	0	52	0	0	ff	31	NA	NA
001	3	21	1679	1	0	52	0	0	fp	31	NA	NA
001	3	21	1679	1	0	52	0	0	rp	31	NA	NA
001	3	21	0	1	0	52	0	0	pr	31	NA	NA
001	3	21	2065	1	0	52	0	0	rr	31	NA	NA
001	3	21	3744	1	0	52	0	0	tt	31	NA	NA
001	3	21	279	2	52	63	0	0	ff	31	NA	NA
001	3	21	443	2	52	63	0	0	fp	31	NA	NA
001	3	21	443	2	52	63	0	0	rp	31	NA	NA
001	3	21	0	2	52	63	0	0	pr	31	NA	NA
001	3	21	507	2	52	63	0	0	rr	31	NA	NA
001	3	21	950	2	52	63	0	0	tt	31	NA	NA
001	3	21	318	3	63	77	0	0	ff	31	NA	NA
001	3	21	318	3	63	77	0	0	fp	31	NA	NA
001	3	21	318	3	63	77	0	0	rp	31	NA	NA
001	3	21	0	3	63	77	0	0	pr	31	NA	NA
001	3	21	975	3	63	77	0	0	rr	31	NA	NA
001	3	21	1293	3	63	77	0	0	tt	31	NA	NA
001	3	21	201	4	77	96	0	0	ff	31	NA	NA
001	3	21	703	4	77	96	0	0	fp	31	NA	NA
