subj	cond	item	value	region	Xstart	Xend	Ystart	Yend	fixationtype	order	questionRT	questionAcc
001	6	30	201	1	0	64	0	0	ff	28	NA	NA
001	6	30	1396	1	0	64	0	0	fp	28	NA	NA
001	6	30	1396	1	0	64	0	0	rp	28	NA	NA
001	6	30	0	1	0	64	0	0	pr	28	NA	NA
001	6	30	0	1	0	64	0	0	rr	28	NA	NA
001	6	30	1396	1	0	64	0	0	tt	28	NA	NA
001	6	30	168	2	64	75	0	0	ff	28	NA	NA
001	6	30	168	2	64	75	0	0	fp	28	NA	NA
001	6	30	168	2	64	75	0	0	rp	28	NA	NA
001	6	30	0	2	64	75	0	0	pr	28	NA	NA
001	6	30	0	2	64	75	0	0	rr	28	NA	NA
001	6	30	168	2	64	75	0	0	tt	28	NA	NA
001	6	30	161	3	75	85	0	0	ff	28	NA	NA
001	6	30	161	3	75	85	0	0	fp	28	NA	NA
001	6	30	161	3	75	85	0	0	rp	28	NA	NA
001	6	30	0	3	75	85	0	0	pr	28	NA	NA
001	6	30	364	3	75	85	0	0	rr	28	NA	NA
001	6	30	525	3	75	85	0	0	tt	28	NA	NA
001	6	30	141	4	85	102	0	0	ff	28	NA	NA
001	6	30	141	4	85	102	0	0	fp	28	NA	NA
001	6	30	569	4	85	102	0	0	rp	28	NA	NA
001	6	30	1	4	85	102	0	0	pr	28	NA	NA
001	6	30	64	4	85	102	0	0	rr	28	NA	NA
001	6	30	205	4	85	102	0	0	tt	28	NA	NA
001	4	4	226	1	0	52	0	0	ff	37	NA	NA
001	4	4	1582	1	0	52	0	0	fp	37	NA	NA
001	4	4	1582	1	0	52	0	0	rp	37	NA	NA
001	4	4	0	1	0	52	0	0	pr	37	NA	NA
001	4	4	0	1	0	52	0	0	rr	37	NA	NA
001	4	4	1582	1	0	52	0	0	tt	37	NA	NA
001	4	4	200	2	52	63	0	0	ff	37	NA	NA
001	4	4	409	2	52	63	0	0	fp	37	NA	NA
