subj	cond	item	value	region	Xstart	Xend	Ystart	Yend	fixationtype	order	questionRT	questionAcc
001	1	31	202	1	0	64	0	0	ff	27	NA	NA
001	1	31	2861	1	0	64	0	0	fp	27	NA	NA
001	1	31	2861	1	0	64	0	0	rp	27	NA	NA
001	1	31	0	1	0	64	0	0	pr	27	NA	NA
001	1	31	306	1	0	64	0	0	rr	27	NA	NA
001	1	31	3167	1	0	64	0	0	tt	27	NA	NA
001	1	31	381	2	64	72	0	0	ff	27	NA	NA
001	1	31	598	2	64	72	0	0	fp	27	NA	NA
001	1	31	598	2	64	72	0	0	rp	27	NA	NA
001	1	31	0	2	64	72	0	0	pr	27	NA	NA
001	1	31	0	2	64	72	0	0	rr	27	NA	NA
001	1	31	598	2	64	72	0	0	tt	27	NA	NA
001	1	31	267	3	72	86	0	0	ff	27	NA	NA
001	1	31	770	3	72	86	0	0	fp	27	NA	NA
001	1	31	770	3	72	86	0	0	rp	27	NA	NA
001	1	31	0	3	72	86	0	0	pr	27	NA	NA
001	1	31	0	3	72	86	0	0	rr	27	NA	NA
001	1	31	770	3	72	86	0	0	tt	27	NA	NA
001	1	31	410	4	86	104	0	0	ff	27	NA	NA
001	1	31	1833	4	86	104	0	0	fp	27	NA	NA
001	1	31	2139	4	86	104	0	0	rp	27	NA	NA
001	1	31	1	4	86	104	0	0	pr	27	NA	NA
001	1	31	0	4	86	104	0	0	rr	27	NA	NA
001	1	31	1833	4	86	104	0	0	tt	27	NA	NA
001	6	30	242	1	0	69	0	0	ff	30	NA	NA
001	6	30	3245	1	0	69	0	0	fp	30	NA	NA
001	6	30	3245	1	0	69	0	0	rp	30	NA	NA
001	6	30	0	1	0	69	0	0	pr	30	NA	NA
001	6	30	356	1	0	69	0	0	rr	30	NA	NA
001	6	30	3601	1	0	69	0	0	tt	30	NA	NA
001	6	30	190	2	69	77	0	0	ff	30	NA	NA
001	6	30	395	2	69	77	0	0	fp	30	NA	NA
001	6	30	395	2	69	77	0	0	rp	30	NA	NA
001	6	30	0	2	69	77	0	0	pr	30	NA	NA
001	6	30	0	2	69	77	0	0	rr	30	NA	NA
001	6	30	395	2	69	77	0	0	tt	30	NA	NA
001	6	30	425	3	77	87	0	0	ff	30	NA	NA
001	6	30	707	3	77	87	0	0	fp	30	NA	NA
001	6	30	707	3	77	87	0	0	rp	30	NA	NA
001	6	30	0	3	77	87	0	0	pr	30	NA	NA
001	6	30	231	3	77	87	0	0	rr	30	NA	NA
001	6	30	938	3	77	87	0	0	tt	30	NA	NA
