subj	cond	item	value	region	Xstart	Xend	Ystart	Yend	fixationtype	order	questionRT	questionAcc
001	5	37	274	1	0	70	0	0	ff	13	NA	NA
001	5	37	5216	1	0	70	0	0	fp	13	NA	NA
001	5	37	5502	1	0	70	0	0	rp	13	NA	NA
001	5	37	0	1	0	70	0	0	pr	13	NA	NA
001	5	37	413	1	0	70	0	0	rr	13	NA	NA
001	5	37	5629	1	0	70	0	0	tt	13	NA	NA
001	5	37	310	2	70	81	0	0	ff	13	NA	NA
001	5	37	310	2	70	81	0	0	fp	13	NA	NA
001	5	37	310	2	70	81	0	0	rp	13	NA	NA
001	5	37	0	2	70	81	0	0	pr	13	NA	NA
001	5	37	449	2	70	81	0	0	rr	13	NA	NA
001	5	37	759	2	70	81	0	0	tt	13	NA	NA
001	5	37	254	3	81	91	0	0	ff	13	NA	NA
001	5	37	518	3	81	91	0	0	fp	13	NA	NA
001	5	37	1218	3	81	91	0	0	rp	13	NA	NA
001	5	37	1	3	81	91	0	0	pr	13	NA	NA
001	5	37	528	3	81	91	0	0	rr	13	NA	NA
001	5	37	1046	3	81	91	0	0	tt	13	NA	NA
001	5	37	252	4	91	108	0	0	ff	13	NA	NA
001	5	37	617	4	91	108	0	0	fp	13	NA	NA
001	5	37	1307	4	91	108	0	0	rp	13	NA	NA
001	5	37	1	4	91	108	0	0	pr	13	NA	NA
001	5	37	0	4	91	108	0	0	rr	13	NA	NA
001	5	37	617	4	91	108	0	0	tt	13	NA	NA
001	8	24	562	1	0	67	0	0	ff	15	NA	NA
001	8	24	6254	1	0	67	0	0	fp	15	NA	NA
001	8	24	6539	1	0	67	0	0	rp	15	NA	NA
001	8	24	0	1	0	67	0	0	pr	15	NA	NA
001	8	24	369	1	0	67	0	0	rr	15	NA	NA
001	8	24	6623	1	0	67	0	0	tt	15	NA	NA
001	8	24	497	2	67	78	0	0	ff	15	NA	NA
001	8	24	497	2	67	78	0	0	fp	15	NA	NA
001	8	24	497	2	67	78	0	0	rp	15	NA	NA
001	8	24	0	2	67	78	0	0	pr	15	NA	NA
001	8	24	962	2	67	78	0	0	rr	15	NA	NA
001	8	24	1459	2	67	78	0	0	tt	15	NA	NA
001	8	24	206	3	78	94	0	0	ff	15	NA	NA
001	8	24	206	3	78	94	0	0	fp	15	NA	NA
001	8	24	2233	3	78	94	0	0	rp	15	NA	NA
001	8	24	1	3	78	94	0	0	pr	15	NA	NA
001	8	24	1065	3	78	94	0	0	rr	15	NA	NA
001	8	24	1271	3	78	94	0	0	tt	15	NA	NA
001	8	24	382	4	94	118	0	0	ff	15	NA	NA
001	8	24	1396	4	94	118	0	0	fp	15	NA	NA
001	8	24	1765	4	94	118	0	0	rp	15	NA	NA
001	8	24	1	4	94	118	0	0	pr	15	NA	NA
001	8	24	0	4	94	118	0	0	rr	15	NA	NA
001	8	24	1396	4	94	118	0	0	tt	15	NA	NA
001	1	1	274	1	0	57	0	0	ff	17	NA	NA
001	1	1	5972	1	0	57	0	0	fp	17	NA	NA
001	1	1	5972	1	0	57	0	0	rp	17	NA	NA
001	1	1	0	1	0	57	0	0	pr	17	NA	NA
001	1	1	380	1	0	57	0	0	rr	17	NA	NA
001	1	1	6352	1	0	57	0	0	tt	17	NA	NA
001	1	1	247	2	57	68	0	0	ff	17	NA	NA
001	1	1	464	2	57	68	0	0	fp	17	NA	NA
001	1	1	464	2	57	68	0	0	rp	17	NA	NA
001	1	1	0	2	57	68	0	0	pr	17	NA	NA
001	1	1	287	2	57	68	0	0	rr	17	NA	NA
001	1	1	751	2	57	68	0	0	tt	17	NA	NA
001	1	1	607	3	68	81	0	0	ff	17	NA	NA
001	1	1	607	3	68	81	0	0	fp	17	NA	NA
001	1	1	1347	3	68	81	0	0	rp	17	NA	NA
001	1	1	1	3	68	81	0	0	pr	17	NA	NA
001	1	1	453	3	68	81	0	0	rr	17	NA	NA
001	1	1	1060	3	68	81	0	0	tt	17	NA	NA
001	1	1	789	4	81	116	0	0	ff	17	NA	NA
001	1	1	1991	4	81	116	0	0	fp	17	NA	NA
001	1	1	2371	4	81	116	0	0	rp	17	NA	NA
001	1	1	1	4	81	116	0	0	pr	17	NA	NA
001	1	1	0	4	81	116	0	0	rr	17	NA	NA
001	1	1	1991	4	81	116	0	0	tt	17	NA	NA
001	3	19	272	1	0	63	0	0	ff	21	NA	NA
001	3	19	5184	1	0	63	0	0	fp	21	NA	NA
001	3	19	5184	1	0	63	0	0	rp	21	NA	NA
001	3	19	0	1	0	63	0	0	pr	21	NA	NA
001	3	19	1059	1	0	63	0	0	rr	21	NA	NA
001	3	19	6243	1	0	63	0	0	tt	21	NA	NA
001	3	19	383	2	63	74	0	0	ff	21	NA	NA
001	3	19	383	2	63	74	0	0	fp	21	NA	NA
001	3	19	383	2	63	74	0	0	rp	21	NA	NA
001	3	19	0	2	63	74	0	0	pr	21	NA	NA
001	3	19	523	2	63	74	0	0	rr	21	NA	NA
001	3	19	906	2	63	74	0	0	tt	21	NA	NA
001	3	19	251	3	74	91	0	0	ff	21	NA	NA
001	3	19	251	3	74	91	0	0	fp	21	NA	NA
001	3	19	2461	3	74	91	0	0	rp	21	NA	NA
001	3	19	1	3	74	91	0	0	pr	21	NA	NA
001	3	19	872	3	74	91	0	0	rr	21	NA	NA
001	3	19	1123	3	74	91	0	0	tt	21	NA	NA
001	3	19	283	4	91	106	0	0	ff	21	NA	NA
001	3	19	683	4	91	106	0	0	fp	21	NA	NA
001	3	19	927	4	91	106	0	0	rp	21	NA	NA
001	3	19	1	4	91	106	0	0	pr	21	NA	NA
001	3	19	0	4	91	106	0	0	rr	21	NA	NA
001	3	19	683	4	91	106	0	0	tt	21	NA	NA
001	6	38	57	1	0	69	0	0	ff	31	NA	NA
001	6	38	5572	1	0	69	0	0	fp	31	NA	NA
